COD_AUDITOR,OFICINA,NOMBRE_AUDITOR
33006,915,Angelino Lledó Artigas
33611,915,Luciano Escudero Ibarra
33612,915,Eufemia Chico Hernandez
33005,915,Carmina Alegria Larrañaga
33201,915,Eva María Sala Llopis
32215,919,Macarena Pina Alfaro
R00013,911,Alba Carbajo Porras
34016,915,Gervasio Sedano Colom
r00063,915,Baltasar Gomez Aller
32458,915,Feliciano Millán Olivé
29494,910,Adrián del Bustos
34200,910,José Manuel Paz Nuñez
R01206,910,Toño Expósito Bermúdez
34173,910,Begoña Colomer Gual
33469,915,Amanda Caballero Morillo
29587,915,Clímaco Porta Bautista
642,911,Consuela Mariño-Guerrero
33241,911,Lourdes Navarro-Maldonado
30402,911,Florencio Recio Mora
33772,911,Lorenza Sedano-Mayol
34134,911,Armando Barco Escudero
32972,915,César Raimundo Salvà Portero
34024,917,Cirino Amor
34121,917,Simón Pavón Melero
33637,915,Gabino Vizcaíno
31413,919,Lupe Urrutia Mateu
31817,915,Heliodoro Espinosa
33638,915,Gerónimo Patricio Quirós Espada
33975,908,Luna Andrade
32923,908,Sara Lara Barrena Colom
33340,905,Chucho Rosario Bernat Núñez
33331,908,Benigno Gallardo-Polo
portugal,917,Manu Francisco Jose Buendía Solana
33964,922,Arcelia Tomas
30095,922,Marisa Ibarra-Ferrández
33238,917,Guadalupe Angelino Márquez Melero
34096,917,Joaquina Buendía Bernad
portugal,999,Fernando Sarmiento Pérez
1320,917,Loreto Vigil Iriarte
29559,915,Clara Gracia-Rico
32619,915,Benigno Franco
32519,915,Viviana Maza Bayo
32973,915,Anunciación Manuela Gual Acuña
48,915,Edu Portero Manzanares
1250,915,Vanesa Reig
32844,959,Ariel Checa Nicolau
30667,901,Pía Catalá Menendez
31009,901,Bibiana Peñalver Aguilar
30064,901,Cayetano Pavón Sastre
32417,901,Macarena Carrasco Tena
33505,901,Lupita Talavera Uribe
901_02707,959,Leticia Yaiza Mariño Pellicer
29168,901,Paula Gárate-Esparza
34052,901,Nieves Santana Alvarado
33381,901,Flora Gárate Lucas
34122,915,Lorenza Romero-Codina
31767,915,Sabas Navarro Agustín
33130,915,Ariadna Leal Martín
2422,915,Eligia Amores Galiano
34092,915,Amando Gimenez Pedrero
33677,915,Bernardino Miguel Ángel Mas Uribe
33728,915,Juan Luis Romeu
29526,915,Modesto Alemany Viñas
33838,915,Soraya Morcillo Manzano
30924,921,Yéssica Ordóñez Barceló
33171,911,Marcial Granados Maestre
31537,911,Soledad Gallardo Casado
32875,911,Vito Agustín Bauzà
31459,911,Juliana Soriano Pozuelo
2687,911,Malena Iglesia Heras
2321,911,Olivia Amor-Carbajo
29943,911,Adalberto Sáez Acero
33289,911,León Jenaro Amo Cantón
33227,911,Fabián Figueras Roldan
32595,911,Cosme Sanjuan Sola
30084,911,Leandra Calderon Gárate
32273,911,Felicidad Mulet Durán
32022,911,Delfina Barreda
32302,911,Trinidad Abascal-Hervás
33816,911,Nazaret Alvarado Cueto
30238,911,Melania Isabel Palomo Herrera
2470,915,Francisca de Mínguez
33464,915,Dora Miguela Angulo Comas
31266,915,Adelaida Mascaró-Pujol
34053,901,Paulino Cerdá-Cerezo
31651,901,Paloma Larrañaga Medina
29432,901,Cleto Sarabia González
29988,901,Fabián Manso Alvarez
32351,901,Gastón Duran
32716,901,María José Roldán Gras
33483,901,Duilio Ferreras-Salom
30045,901,Ester Pacífica Campoy Alcolea
29395,901,Amparo Abril Carrera
31519,922,Piedad del Alemán
2454,915,Hortensia Pablo Garriga
33472,922,Claudio Mario Cabo Falcón
29418,922,Germán Bello Verdejo
2871,922,Natanael de Martín
30178,922,Candelario de Pombo
29778,922,Ambrosio del Menendez
29307,922,Santos Jaume Marcos
2790,922,Heraclio del Andres
32993,905,Lorena Alcántara
33731,905,Virgilio Fernandez Jódar
32158,905,Joaquina Somoza Belmonte
32679,905,Severino de Llabrés
33589,908,Ester Comas Perelló
30309,905,Eugenio Velasco Borrego
32333,905,Felipa Verdú Aranda
31903,908,Carlito de Lledó
34168,908,Brígida Guzmán-Saura
31208,915,Leire Mulet Esparza
CT_FRANCE,911,Gabriela Font
portugal,911,Luis Miguel Batalla Polo
32876,911,Adriana Sáez Roldán
33319,911,Eulalia Vaquero Ibañez
33221,922,Heliodoro Cabrero Mínguez
32394,905,Marino Yáñez Osuna
33562,915,Anacleto Múgica Santiago
34123,917,Georgina Calderon
29747,917,Nicolasa Diez Quintanilla
33147,917,Ámbar Baeza-Planas
33550,917,Berta Gallego Haro
31613,917,Etelvina Girón Barrio
33330,917,Áurea Baquero Aroca
33567,917,Pancho Suárez Múgica
32473,911,Ariadna Estrada-Beltran
30118,911,Sigfrido Calisto Mesa Reyes
32657,911,Marcelino Chamorro
33014,911,Francisco Jose Cáceres Iglesias
32928,911,Georgina Blázquez León
29510,911,Miguel Ángel Moya Luís
112,911,Bibiana Tejada Toledo
2006,911,Alcides Somoza Redondo
32549,911,Clotilde Vallejo-Bartolomé
34002,911,Rodolfo Adán Egea
32179,901,Toribio del Seco
31912,911,Teófilo Nieto Conde
33322,911,Andrea de Ballester
3354,911,Mónica Casals
33749,911,Rocío Jerez
r02401,915,Lupe Torres Garzón
33917,915,Laura Vicenta Ferrera Solís
33412,915,María Fernanda Consuela Bautista Pacheco
33836,915,Santiago Salvador Chico
R02048,911,Abel Perales Pallarès
31972,905,Alfonso Joaquín Caballero Quirós
R00050,901,Eulalia Cantón Ferrera
R00156,911,Brígida Osuna Giménez
r02740,908,Mireia Mínguez Fonseca
32476,915,Anunciación Tomé Balaguer
30734,915,Patricio Real Ródenas
A00066,915,Hernando Blanes Chico
34013,915,Adora Aroca Yáñez
33765,915,Elisabet Felipa Guerra Alcalá
33627,915,Luis Miguel Bellido
30445,915,Anacleto Gonzalez Bertrán
29717,915,Edelmira Diego Belmonte
32663,915,Itziar Orozco Ochoa
1118,915,Sabina Arjona Uriarte
29706,901,Esther Villalobos-Iñiguez
32635,908,Abraham Mohamed Galvez Guardiola
R02042,911,Ligia Prieto Alcalá
33532,901,Susana Hernández Zorrilla
29462,901,Flavio de Palomar
33883,901,Gilberto Yáñez Mendez
30199,911,Ambrosio de Gras
524,911,Zoraida Heredia Amigó
R02401,915,Rodrigo Torralba Lerma
R00333,911,Damián Llobet Cáceres
32527,905,Ernesto José Toledo Ayuso
33277,911,Nilda Ríos
31877,911,Alba Roldán Ferrández
33818,922,Juan Bernad Castro
32361,919,Maribel Carbó Alfonso
30469,911,Rafael Folch Acedo
31320,911,Amanda Sobrino Blazquez
29920,911,Genoveva López
33225,911,Lola Rubio Echevarría
2571,911,Clemente Becerra
146,911,Bonifacio Muro Rius
32287,915,Vilma Lobato Ayuso
53,915,Venceslás Arcos Barriga
120,915,Coral Cueto Martorell
33841,915,Gervasio Alberdi Gascón
29579,915,Rosaura Gámez Arco
33636,911,Ruperto Torrijos
r32790,915,Alondra Sales Fuente
33846,910,Evangelina Pedrero Martin
33302,910,Marcial Adalberto Velasco Cordero
33413,910,Serafina Juárez Jerez
33361,910,Amarilis Coca Hidalgo
30987,901,Regina Navarrete Sanchez
33174,901,Mayte Berenguer Arcos
30579,901,Adrián Guillén Novoa
58,901,Ema Amigó Meléndez
127,901,Agustina Clara Manrique Pujadas
29381,908,María Manuela Díaz Márquez
2522,908,Aurelio Espada-Echevarría
33331,905,Renata Quero Iborra
33570,905,Narcisa Noelia Capdevila Gallo
r02747,908,Ruy Ramón Pelayo
R29462,901,Timoteo Reyes Español
34023,901,Remedios del Coca
r02741,908,Elodia Castrillo Coca
hsbrands,901,Miguela Cabello Gonzalo
33633,911,Mauricio Pla Bello
2483,911,Florina Carbajo-Domínguez
31223,910,Rocío Carranza Agustín
33997,901,Leoncio Vives Villalba
32205,901,Paloma Sarmiento
30369,901,Octavio Ibarra Antúnez
33218,901,Pascual Albert Ricart Valcárcel
29720,901,Alex Llamas Solana
34125,901,Maura Reguera Malo
33512,901,Emilia Calatayud Verdejo
32085,901,Tiburcio Villalonga Pujadas
31930,901,Selena Clemente Castilla
31157,911,Ezequiel Campo Olmedo
29847,901,Alexandra Bernad-Escolano
30617,901,Pascuala Novoa Mayoral
33951,901,Gabriel Acero
32406,901,Rufino José Mari Salom Río
61,915,Abraham Avilés-Suárez
33688,910,Ema Mancebo Ferrera
33561,910,Isidoro Morante Valderrama
f_barragan,SGS,Selena Serrano Vega
2790,911,Jenny Moliner Jaume
30870,911,Ágata Cortina Rivera
34129,911,Rosalina Torres Carreño
30122,911,Lara Cayetana Ballesteros Figuerola
34178,911,Chus Infante Manzanares
R00010,910,Ricardo Arribas Ros
29944,901,María Luisa Calatayud Sancho
31680,901,Carmen Merche Jódar Fuente
31058,901,Tomás Guillen
34010,901,Hernán Bejarano
31011,901,Gilberto Montserrat Yuste
34062,901,Jesusa Rocío Samper Roselló
33959,901,Aroa Ramis Seguí
R30579,901,Dora Suárez
R00127,901,Che Pons Miranda
83,911,Nidia Serafina Arroyo Sedano
29890,901,Luciana Campos Ramis
33511,901,Felipa Nogués
30217,901,Felisa Blasco Menéndez
29935,911,Pascual Ferrer Riba
32801,905,Cruz Lamas
32342,905,Tiburcio de Batlle
33330,911,Dulce Candela Tirado Camps
29844,911,Trinidad Redondo Cañellas
29998,911,Anselmo Ruiz Alcolea
TEST,911,Albert Riera Álvarez
30828,910,Heliodoro Salvà
29220,917,Fortunata Roman Ledesma
R02470,915,Eliana Araujo Barón
31674,917,Rosario Noriega Bermúdez
29418,917,Álvaro Ayllón Palmer
33373,917,Narciso Édgar Arellano Cortés
33125,917,Sergio Neira Figueroa
r02422,915,Albano Arrieta Toledo
33504,901,Salomón Ferrera Peñalver
credit,911,Claudio Azorin Benitez
34194,919,Natalio Roig
32709,919,Jordi Calderon Bustos
2724,921,Herminio Benavente
33624,959,Aránzazu Dalila Verdejo Ariño
31779,901,Natanael Landa-Román
33883,959,Claudia Gutiérrez Rico
33981,959,Encarnita Céspedes Manso
33228,911,Primitivo Buendía
34185,911,Juanita Bellido
33716,911,Néstor Martín Velázquez
33681,911,Íñigo Pagès Frías
33763,911,Toño Salinas
31298,911,Artemio Gervasio Rosales Alsina
R00050,911,Ruperta Aroca Flores
31473,917,Claudio Cortes Gilabert
33992,922,Gabino Carreño-Campo
33528,922,Íngrid Mateu-Casals
34197,919,Alberto Royo Botella
33893,917,Odalis Bravo Pacheco
33892,917,Nereida Barragán Bolaños
34235,917,Baudelio Murillo
33399,917,Chus Neira
34234,917,Aristides Monreal-Valcárcel
34231,917,Yésica Obdulia Izquierdo Madrigal
33809,917,Dorotea Mendez Montes
31136,921,Amancio Jara Serra
citi_lop,911,Julio Hernán Cano Flor
credimas,911,Belén Ana Mayol Fernandez
33710,910,Juan José Ramón Alemán
2902,910,Itziar Perla Cuenca Cabello
32114,910,Curro Otero Barranco
29527,910,Pascuala Collado-Palacios
33721,908,Jacinta Rosales Murcia
33719,908,Carmina Godoy Infante
2714,908,Maura Adriana Fabra Juliá
32384,908,Pancho Franco Palmer
R00141,908,Magdalena Diez
34157,908,Ceferino Jacobo Gimenez Álamo
33989,908,Toni Vizcaíno Arévalo
34158,908,Fabián Morán Mariño
33555,908,Itziar Solsona Torrijos
33063,905,Isidoro Lago Barranco
31298,905,Amanda Robledo Carreño
32384,905,Sosimo Hoyos Franco
34181,911,Omar Orozco Gutiérrez
34198,901,Vinicio Santana Ramírez
activa,911,Heriberto Villa Piñol
32953,917,Mateo Correa Colomer
1003,901,Emelina del Pedrero
32478,915,Dalila Álvaro Artigas
R32801,905,José Mari Palacio Hidalgo
31496,911,Ainoa Galiano Bravo
33913,917,Esther Paz Puerta
33878,915,Fanny Grande Hidalgo
33872,922,Tristán Bellido Contreras
30722,917,Adela Casandra Almeida Clemente
33843,901,Toni de Hernández
34190,901,Anselmo Poncio Pereira Avilés
M_DELGADO,SGS,Manu Felisa Carnero Peinado
a_morenog,SGS,Estefanía Haro
33675,901,Florinda Herrero
33121,901,Juan Pablo Pineda Puga
R02741,908,Ignacio Salom González
30058,917,Azahara Millán Montserrat
32583,917,Angelina Huertas Pombo
32669,917,Natanael Santiago Valdés
33992,917,Felicidad Aguiló Mateos
34203,917,Ani Linares Cabrero
33042,917,Bibiana Pedraza Redondo
32209,917,Benito Santamaría Román
33626,917,Erasmo Saura
31824,908,Noa Plana-Bueno
33338,901,Maximiliano Herranz Redondo
33676,901,Cosme Gomila Uribe
31010,901,Carolina Anglada-Torre
34199,901,Josep Morillo Revilla
34182,901,Graciana Barrio
30912,901,Chucho Sastre Goicoechea
29217,911,Vasco Rafael Guerra Gámez
32546,922,Andrea Francisca Sedano Tovar
34029,922,Azahar Arnaiz
33040,922,Amador del Salvador
33965,922,Ascensión Ramírez Llanos
33488,922,Melisa Torrens Gracia
34169,922,Leonel Casas-Mayo
33479,922,Ernesto Blázquez Acedo
33374,922,Gema Espejo Coello
901_02228,901,Leoncio Jover Mas
29724,959,Carina Cabrero Rojas
30251,901,Carla Bernat Amat
31289,911,Maricruz Bauzà Mateu
30248,911,Venceslás Bravo Español
32459,911,Cloe Mariño Casals
33233,911,Anna Orozco Pellicer
2418,911,Juan Antonio Emiliano Gordillo Ricart
33245,911,Octavio Ciro Santamaría Ródenas
32631,911,Valeria Lerma Porras
34058,911,Susana del Bueno
2393,911,Reyes del Ureña
34180,911,Paulino Martín-Madrid
33499,911,Rómulo Sancho-Somoza
33114,911,María Fernanda Andrade Gisbert
3644,911,María Dolores Arce Juliá
33747,911,Eloísa Castillo Villalba
33657,917,Cecilio Cobo Valenzuela
34097,901,Luís de Valenzuela
34082,922,Leocadia Camila Haro Melero
33135,922,Noa de Elías
32020,922,Dimas Delgado Morales
34012,910,Pablo Arnaiz Chamorro
30647,922,Isaac Leonardo Pozo Fonseca
33918,922,Roldán Ponce Luna
30810,901,Máximo Enrique Asenjo Guerrero
34201,910,Paulina de Estrada
34205,901,Victor Maestre-Sandoval
31553,901,Febe Segovia Valdés
34191,911,Patricio Plaza
33856,911,Ernesto Yáñez Ricart
32903,917,Che Sanabria Soria
30691,917,Heriberto Pastor Aguirre
34196,919,Claudio Giralt-Rincón
31879,908,Alicia Martin Garay
32332,905,Odalis Renata Cobos Mármol
33085,908,Ruperta Gutierrez Mur
333,908,Almudena Franch Leiva
34072,921,Rosendo Arteaga Salmerón
32612,911,Amparo Peinado Hernández
2620,911,Rosalva Santiago Solano
33673,911,Amancio Arnau Agustín
1120,911,Rufina del Armengol
31274,915,Ximena Marcia Alegria Prats
31562,911,Leonor Haro Saez
32134,911,Marcia Camino Cabanillas
32831,911,Tristán Puerta Nuñez
28,911,Ainara Haydée Noriega Cordero
34186,911,Bautista Espada Folch
34136,911,Germán Delgado Iglesia
33888,911,Seve Balduino Palomino Bas
31595,911,Raúl García-Cerdá
96,911,Vinicio del Mora
33974,911,Damián Cárdenas Gomez
30581,911,Teresa del Gordillo
34184,911,Otilia Domínguez
33742,915,África Manzanares Aramburu
33594,922,Estrella Doménech Canales
32411,901,Emigdio Manzano Mora
30587,901,Fabiola Álvarez-Albero
31437,901,Quique Cuenca Carbajo
33570,908,Jesusa García-Pujol
29590,919,Reynaldo Tomas Díez
R02743,908,Gastón Diez Bilbao
C_MARRERO,SGS,Arturo Perea Villanueva
S_SANCHEZC,SGS,Juanito Melero Escribano
JL_EGIELOR,SGS,Zaira Adán Reina
30048,911,Severo López Jurado
31724,901,Consuelo del Mínguez
R02747,908,Nazaret Galán Peñalver
32923,905,Blanca Valero Soler
32451,922,Sandra de Luís
34175,922,Anselma Arnaiz Sanabria
33946,908,Fabiola Emma Pazos Guerrero
34215,901,Sandalio de Alvarado
32790,915,Irene Fernandez Feliu
33056,905,Fermín Blanco Ortiz
32917,908,Blas Noguera Criado
34195,919,Purificación Cortina Torrecilla
30840,908,Josefa de Alarcón
33203,905,Kike Batalla Roldán
r02746,905,Angelino Vila Sevilla
333,911,Josefina Ortega Salazar
32157,905,Efraín Cabrero Cabañas
34116,905,Prudencia Campos Murcia
32945,901,Gloria Palau Cabello
34216,901,Clementina del Calzada
